Day/Month/Year,BusStop,Pasengers
อังคารที่ 4 มกราคม 2565,7-Eleven Stop,580
,ETC office ,524
พุธที่ 5 มกราคม 2565,7-Eleven Stop,620
,ETC office ,499
พฤหัสบดีที่ 6 มกราคม 2565,7-Eleven Stop,603
,ETC office ,507
จันทร์ที่ 14 มีนาคม 2565,7-Eleven Stop,724
,ETC office ,550
,Building A Gate 6,43
อังคารที่ 15 มีนาคม 2565,7-Eleven Stop,734
,ETC office ,601
,Building A Gate 6,49
พุธที่ 5 เมษายน 2566,7-Eleven Stop,918
,ETC office ,NULL
,Building A Gate 6,120
อังคารที่ 25 มกราคม 2565,7-Eleven Stop,700
,ETC office ,571